,0,standard_buses
49,12763.78679892,4.0
49,12763.78679892,4.0
50,11365.58437694,4.0
50,11365.58437694,4.0
50,11365.58437694,4.0
50,11365.58437694,4.0
51,8039.42974144,5.0
51,8039.42974144,5.0
51,8039.42974144,5.0
51,8039.42974144,5.0
51,8039.42974144,5.0
52,4021.08116862,5.0
52,4021.08116862,5.0
52,4021.08116862,5.0
52,4021.08116862,5.0
52,4021.08116862,5.0
53,11500.65255456,3.0
53,11500.65255456,3.0
53,11500.65255456,3.0
54,320.29157882,3.0
54,320.29157882,3.0
54,320.29157882,3.0
55,6111.90339696,3.0
55,6111.90339696,3.0
55,6111.90339696,3.0
56,5355.69701738,3.0
56,5355.69701738,3.0
56,5355.69701738,3.0
57,10960.82075906,6.0
57,10960.82075906,6.0
57,10960.82075906,6.0
57,10960.82075906,6.0
57,10960.82075906,6.0
57,10960.82075906,6.0
58,12763.78679892,6.0
58,12763.78679892,6.0
58,12763.78679892,6.0
58,12763.78679892,6.0
58,12763.78679892,6.0
58,12763.78679892,6.0
59,6670.37681376,8.0
59,6670.37681376,8.0
59,6670.37681376,8.0
59,6670.37681376,8.0
59,6670.37681376,8.0
59,6670.37681376,8.0
59,6670.37681376,8.0
59,6670.37681376,8.0
60,17665.05247636,8.0
60,17665.05247636,8.0
60,17665.05247636,8.0
60,17665.05247636,8.0
60,17665.05247636,8.0
60,17665.05247636,8.0
60,17665.05247636,8.0
60,17665.05247636,8.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
61,9402.54128166,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
62,11590.82361492,13.0
63,2113.58787972,5.0
63,2113.58787972,5.0
63,2113.58787972,5.0
63,2113.58787972,5.0
63,2113.58787972,5.0
64,8118.0258621,5.0
64,8118.0258621,5.0
64,8118.0258621,5.0
64,8118.0258621,5.0
64,8118.0258621,5.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
65,8039.42974144,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
66,15842.201919580002,26.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
67,12660.657874740002,31.0
68,4021.08116862,3.0
68,4021.08116862,3.0
68,4021.08116862,3.0
69,4883.030625319999,3.0
69,4883.030625319999,3.0
69,4883.030625319999,3.0
70,2992.65762172,4.0
70,2992.65762172,4.0
70,2992.65762172,4.0
70,2992.65762172,4.0
71,8889.646096059998,4.0
71,8889.646096059998,4.0
71,8889.646096059998,4.0
71,8889.646096059998,4.0
72,6638.04914086,6.0
72,6638.04914086,6.0
72,6638.04914086,6.0
72,6638.04914086,6.0
72,6638.04914086,6.0
72,6638.04914086,6.0
73,8039.42974144,6.0
73,8039.42974144,6.0
73,8039.42974144,6.0
73,8039.42974144,6.0
73,8039.42974144,6.0
73,8039.42974144,6.0
74,8039.42974144,10.0
74,8039.42974144,10.0
74,8039.42974144,10.0
74,8039.42974144,10.0
74,8039.42974144,10.0
74,8039.42974144,10.0
74,8039.42974144,10.0
74,8039.42974144,10.0
74,8039.42974144,10.0
74,8039.42974144,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
75,11590.82361492,10.0
76,11590.82361492,6.0
76,11590.82361492,6.0
76,11590.82361492,6.0
76,11590.82361492,6.0
76,11590.82361492,6.0
76,11590.82361492,6.0
77,7715.06145922,6.0
77,7715.06145922,6.0
77,7715.06145922,6.0
77,7715.06145922,6.0
77,7715.06145922,6.0
77,7715.06145922,6.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
