route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses
CTA_290,290,CTA_290_R,Ahmed Helmy,Massalah Al Gadeeda (Matareya)-Ahmed Helmy,1,CTA,1363.0,Massalah Al Gadeeda (Matareya),14.020589613628225,3.0,6676.471244584868,12.0,12.0
CTA_30,30,CTA_30_R,Gesr El Suez (Garage),Awwel Al Eshreen (Zenin)-Gesr El Suez (Garage),1,CTA,9886.0,Awwel Al Eshreen (Zenin),27.436598356651373,4.0,13065.046836500655,4.0,4.0
CTA_305-1104,305-1104,CTA_305-1104_R,Ahmed Helmy,Mazlaqan Ain Shams-Ahmed Helmy,1,CTA,6736.0,Mazlaqan Ain Shams,19.880620213869527,3.0,9466.962006604535,4.0,4.0
CTA_305-1104,305-1104,CTA_305-1104_O,Mazlaqan Ain Shams,Ahmed Helmy-Mazlaqan Ain Shams,0,CTA,6736.0,Ahmed Helmy,19.760122010140975,3.0,9409.58190959094,4.0,4.0
CTA_306,306,CTA_306_R,Amiriya,Giza Square-Amiriya,1,CTA,629.0,Giza Square,20.063382825198797,3.0,9553.991821523237,36.0,36.0
CTA_306,306,CTA_306_O,Giza Square,Amiriya-Giza Square,0,CTA,629.0,Amiriya,19.850062921256626,3.0,9452.410914884107,36.0,36.0
CTA_317,317,CTA_317_R,Badr,10th of Ramadan Station (Asher Men Ramadan)-Badr,1,CTA,4734.0,10th of Ramadan Station (Asher Men Ramadan),52.36540989910865,3.0,24935.909475766024,13.0,13.0
CTA_317,317,CTA_317_O,10th of Ramadan Station (Asher Men Ramadan),Badr-10th of Ramadan Station (Asher Men Ramadan),0,CTA,4734.0,Badr,52.8711204217387,3.0,25176.72401035176,13.0,13.0
CTA_318,318,CTA_318_R,Gesr El Suez (Garage),Cairo Airport-Gesr El Suez (Garage),1,CTA,1417.0,Cairo Airport,7.697553362716794,3.0,3665.501601293711,7.0,7.0
CTA_318,318,CTA_318_O,Cairo Airport,Gesr El Suez (Garage)-Cairo Airport,0,CTA,1417.0,Gesr El Suez (Garage),9.358872555705279,3.0,4456.605978907275,8.0,7.0
CTA_31S,31S,CTA_31S_O,Giza Square,Al Zawya Al Hamra-Giza Square,0,CTA,4126.0,Al Zawya Al Hamra,16.59830024526772,3.0,7903.952497746532,5.0,5.0
CTA_31S,31S,CTA_31S_R,Al Zawya Al Hamra,Giza Square-Al Zawya Al Hamra,1,CTA,4126.0,Giza Square,18.545862758768536,3.0,8831.363218461207,6.0,5.0
CTA_321,321,CTA_321_R,New Marg,Khanka-New Marg,1,CTA,2610.0,Khanka,11.843309512583062,3.0,5639.671196468124,6.0,6.0
CTA_321,321,CTA_321_O,Khanka,New Marg-Khanka,0,CTA,2610.0,New Marg,11.96635205891449,3.0,5698.262885197376,6.0,6.0
CTA_323,323,CTA_323_O,10th of Ramadan Station (Asher Men Ramadan),Abd Al Moneim Riad-10th of Ramadan Station (Asher Men Ramadan),0,CTA,4076.0,Abd Al Moneim Riad,29.287774130907213,3.0,13946.559109955815,9.0,8.0
CTA_323,323,CTA_323_R,Abd Al Moneim Riad,10th of Ramadan Station (Asher Men Ramadan)-Abd Al Moneim Riad,1,CTA,4076.0,10th of Ramadan Station (Asher Men Ramadan),27.786021989586832,3.0,13231.439042660395,8.0,8.0
CTA_342,342,CTA_342_O,Al Magzar (Mariouteya),Qalaa-Al Magzar (Mariouteya),0,CTA,1426.0,Qalaa,22.451595224305848,3.0,10691.235821098024,18.0,16.0
