InputID,Al Amal,Al Amiriyyah,Al Sawah,Al-Mostaqbal,Athar an Naby,Badr,Cairo,El Mizalat,El-Mounib,El-Obour,El-Teraa El-,Fateh,Fom El-Khalig,Gesr Al Suez,Giza,Helwan,Imbaba,Maadi,Nasr,Port Said
Faisal Microbus Station,51337.7184178,43864.099402800006,44919.1338502,56810.750328199996,19093.65641568,14510.1590905,60772.39338740001,35972.2151494,9509.753645,32831.865074,38119.7827684,38397.1105016,20255.1643912,58965.1027586,8228.89468924,54425.829053400004,23597.550344799998,59113.74033940001,38228.1684888,40745.85988
Faisal Tawabek,48732.542907,41025.3871866,42040.7639856,53838.4945388,16483.25997576,12067.33286954,58137.441937999996,33355.97212200001,7143.85587224,30571.8315564,35432.59797819999,35395.96154719999,17252.91310472,56042.719330800006,5228.0191205,53457.3428324,21222.7348588,56444.1620788,35229.185548400004,37980.1718534
Fayda Kamel,26335.859756,34575.8175864,34404.0317074,35816.183259599995,6517.60074294,10661.86452664,35816.7252958,32708.299177599998,15654.2758682,8218.99376396,33146.0479578,21593.445031400002,13651.70391914,45460.4523146,19021.45660822,37193.660445,27639.6877306,34278.1097588,21050.4915988,33696.795406200006
Filfil Mosque (Bashtil),49522.128727999996,23429.618926,25193.8070784,45259.102287400005,25768.284755400004,25390.1950664,57538.961719800005,13292.7327199,24324.200311,38450.5792584,16012.32104372,26950.8927788,17336.8692785,39238.824973400006,19603.81764212,68009.70310140001,3386.27883786,55422.1093548,27257.372673,19417.00877214
Gas,13933.289241600001,36068.98950919999,34092.668832999996,10848.69860738,41596.65997,46373.9454904,10536.86161492,43908.2377834,51149.8210606,32088.132105599998,41878.6798664,25825.9654426,41413.751777,31825.9152362,52639.52987880001,50305.059222,49993.918665599995,9012.34433158,25529.018097,39203.515201199996
Gate 13 (Rehab),32174.6918792,41690.983117,39572.6081548,18586.30587298,57512.84997159999,62224.92529299999,26501.2382972,51580.452036,66687.5204644,49824.6602042,49012.545824,37603.6962572,55385.3160734,30320.929283200003,67276.4707136,67866.22290240001,60834.27048580001,25931.3504572,37605.840931800005,45671.8627388
Gate 6 (Rehab),32544.678950999998,45709.211590800005,43584.5119862,21589.222423400002,59717.875966,64470.5720798,25773.477129400002,55446.18521,69057.3265828,51102.5309566,52925.064412,40687.33772219999,58163.6966576,34740.155445599994,69929.0703984,67177.31202879999,64294.0780916,25576.1875786,40632.0343058,49634.486115199994
Gesr El Suez (Garage),39328.5279596,16072.311915,14451.8371292,20233.846271000002,45819.7933598,49549.458558800005,41037.6584936,26341.7743134,52534.7596218,46298.0523352,23569.5122754,23504.558081400002,39453.795366800005,862.0590402539999,50875.778528400006,74286.08465,38431.601978800005,39078.1200038,24046.170885599997,20095.4215642
Ghamra,34796.097136000004,12025.2101974,12703.5218095,28964.7053892,21664.8736002,24357.536777200003,42051.2578736,9731.94663638,26516.2952346,28783.2545926,9569.77180226,10821.65167268,13577.85660776,26589.536630000002,24364.5773348,59657.8520142,13896.10506598,39878.636416,11225.44810504,10166.40521868
Giza Square,38354.1570214,30032.976827599996,30768.142911799998,41654.74420940001,8388.89678008,7715.06145922,47512.4500732,24045.7283072,8483.66042844,22678.9574436,25573.331388799998,23131.859962000002,5004.9984469,44393.884986000005,7071.60587826,50624.3163374,14771.38845258,45665.921683,22963.9917192,27529.6683476
Hadaba Wosta (Moqattam),12452.63368968,26833.5575808,25460.351403200002,16014.30921556,24515.159185599998,29286.878939599996,19945.7490088,31440.4691102,33994.1930444,17591.02998982,30154.0059524,12185.76761818,24439.189097799997,30890.652169599998,35445.1343004,44041.5729314,34514.7000658,17852.26795442,11590.82361492,28518.2545746
Hadayeq Helwan,26977.1361352,55018.5358026,54294.74570619999,45935.2142406,28650.998445999998,30685.4977088,33905.7271492,55202.15145040001,34565.137683999994,16894.08588474,55214.6559928,40030.3908444,36875.203633599995,62222.1272102,39447.6821482,14041.25625592,50848.7110014,33724.4276416,39351.858636000004,55097.83085119999
Hamada Emam,108564.40387419998,102521.97140519999,103912.531975,116925.67595620001,77965.5276112,73207.46076960002,117963.06385180002,93120.47657120001,68671.5640566,88634.43247160001,95705.275961,98664.51533719999,80519.1465326,118213.0321154,68482.5263446,95358.03638119999,80283.61174460001,116664.3587382,98494.73062100001,98864.30756760002
Haram Areesh,48454.3395764,41698.522712,42671.9586362,53999.44673840001,16202.35050914,11657.79635106,57882.93049680001,34191.5818488,6666.24926398,30069.9699726,36225.528739999994,35689.8596398,17582.19103232,56612.576338,5689.54148842,52507.760623400005,22176.7000592,56217.66546340001,35502.3901202,38717.337512800004
Haram Marioteya,50779.5809692,44095.3692876,45109.7593244,56586.47488559999,18571.82612354,13925.99685786,60227.8391694,36366.9073602,8936.95800948,32135.3761556,38470.204667,38283.974623,20169.57047,59100.94818860001,8218.9818552,53463.19145980001,24109.0244204,58589.948553999995,38097.8499954,41039.914647800004
Haram Mashaal,52694.596822600004,45983.7413106,47031.322842,58657.0078156,20535.785345400003,15847.18354322,62153.5440556,38085.667120599996,10887.846945399999,33891.9587994,40240.8470586,40348.027351599994,22226.0565414,61062.3759202,10243.51415986,54396.18810040001,25670.2811282,60533.9695462,40164.5694254,42870.1187016
Haram Mashaal Alexandria,51942.8658648,45347.776456,46378.553555,57897.087289999996,19774.21700564,15092.06257096,61399.856124800004,37529.0697898,10126.75312648,33175.4810852,39660.812606,39605.8610876,21491.252961000002,60388.745686199996,9530.4833224,53927.8507,25179.893003999998,59776.82845780001,39419.2014454,42262.3495176
Haram Talbeya,44036.5863836,36902.701938599996,37788.3722704,48876.0392888,11918.64461106,7969.76312532,53398.5362702,29909.534147799997,3982.5322628,26412.2441066,31777.5821338,30517.594077200003,12415.99234514,51615.955965400004,1335.678661176,51177.5912884,18617.59679586,51668.1086686,30331.941555799996,34088.5293178
Hawamdeyya,31793.761277999998,55953.517129199994,55457.7492916,49676.442272800006,26653.357124000002,27773.7256644,39381.981503400006,54959.01801259999,31048.4942742,17871.68965114,55286.0479564,41488.3549888,35468.8110316,64557.326933000004,36170.5267216,16210.96760676,49204.306851199995,39007.426862,40834.751845,55566.992020000005
Hegaz Square,35848.503474,11639.18596976,9746.40358292,18329.10078734,40393.9962818,44112.9287652,38644.4467676,22057.8163566,47118.666968,41298.334940400004,19298.341438,18196.40375474,34045.0975628,5692.92886228,45536.2649694,69875.179242,33631.2698986,36572.383618,18761.91687078,15784.50946308
Helmeyet El Zaitoun Metro,38452.510220599994,4716.55600834,3374.24762196,23590.092081,36890.6814386,40110.7051772,42693.18754680001,15030.90541888,42558.4362306,40298.4517126,12256.35718816,16709.7315217,29525.556986400003,11136.42432952,40380.758878199995,70185.6525422,27113.335320599996,40528.4479952,17383.32309256,8757.3179574
