InputID,TargetID,Distance
Misr 2000,Fateh,14724.3815093
Misr 2000,Al Sawah,17321.9037388
Misr 2000,Al Mataria,18019.3896658
Misr 2000,Al Amiriyyah,18371.9072009
Misr 2000,El-Obour,19687.2091946
Misr 2000,El Basatin,19933.1933126
Misr 2000,Port Said,20181.6262086
Misr 2000,El-Teraa El-,21707.4331611
Misr 2000,El Mizalat,22870.8757563
Misr 2000,Fom El-Khalig,23242.2233077
Misr 2000,Athar an Naby,23884.0557415
Misr 2000,Tiba,25949.9357374
Misr 2000,Badr,26262.9530223
Misr 2000,Imbaba,26741.4942363
Misr 2000,El-Mounib,28570.2616548
Misr 2000,Helwan,28961.4083091
Misr 2000,Giza,29069.1863197
Magda Square,Giza,26828.7209963
Magda Square,El-Mounib,27527.314324
Magda Square,Badr,29977.7047798
Magda Square,Imbaba,31477.4205074
Magda Square,Athar an Naby,32346.3290921
Magda Square,Tiba,32465.2160032
Magda Square,Fom El-Khalig,32737.2454561
Magda Square,El Basatin,36354.8659967
Magda Square,El Mizalat,37754.4998118
Magda Square,El-Obour,38608.4179631
Magda Square,El-Teraa El-,39096.0889506
Magda Square,Port Said,40752.490823
Magda Square,Nasr,41676.963906
Magda Square,Fateh,41712.7596999
Magda Square,Al Amiriyyah,42679.3536553
Magda Square,Al Sawah,43460.3237685
Magda Square,Al Mataria,43541.2322778
Magda Square,Helwan,45012.3687311
Magda Square,Al Amal,48320.4291807
Magda Square,Gesr Al Suez,50599.6229671
Magda Square,Al-Mostaqbal,51137.3488323
Magda Square,Maadi,52290.5266015
Magda Square,Cairo,53062.5648346
Magda Square,Katameya,55417.8903698
Total (6th of October),Giza,35138.5561566
Total (6th of October),El-Mounib,35487.9802591
Total (6th of October),Badr,37843.2476768
Total (6th of October),Athar an Naby,40232.0070625
Total (6th of October),Imbaba,40419.2380799
Total (6th of October),Fom El-Khalig,41138.0499753
Total (6th of October),Tiba,41408.9629354
Total (6th of October),El Basatin,44237.2212957
Total (6th of October),El-Obour,45937.7913146
Total (6th of October),El Mizalat,46760.3100978
Total (6th of October),El-Teraa El-,48086.7055194
Total (6th of October),Port Said,49717.7083309
Total (6th of October),Nasr,50133.4010384
Total (6th of October),Fateh,50195.150301
Total (6th of October),Helwan,50204.2995348
Total (6th of October),Al Amiriyyah,51610.2629219
Total (6th of October),Al Sawah,52358.4754337
Total (6th of October),Al Mataria,52479.8895555
Total (6th of October),Al Amal,55848.5687945
Total (6th of October),Al-Mostaqbal,59483.8765766
Total (6th of October),Gesr Al Suez,59511.5770312
Total (6th of October),Maadi,59879.9694765
Total (6th of October),Cairo,60576.0235328
Total (6th of October),Katameya,62940.3305946
Shabab Station (Obour),Gesr Al Suez,23112.9372076
Shabab Station (Obour),Al Mataria,29224.7742424
Shabab Station (Obour),Al Sawah,29669.0597552
Shabab Station (Obour),Al Amiriyyah,30099.1286708
Shabab Station (Obour),Al-Mostaqbal,30235.4518545
Shabab Station (Obour),Port Said,31642.9712833
Shabab Station (Obour),El-Teraa El-,33055.1587479
Shabab Station (Obour),El Mizalat,34261.6214717
Shabab Station (Obour),Fateh,34994.1736202
Shabab Station (Obour),Nasr,35254.2492124
Shabab Station (Obour),Maadi,38543.7358778
Shabab Station (Obour),Katameya,38592.3511216
Shabab Station (Obour),Cairo,39162.9364452
Shabab Station (Obour),Tiba,39749.3133666
Shabab Station (Obour),Al Amal,40370.3117358
Shabab Station (Obour),Imbaba,40714.8271544
Shabab Station (Obour),Fom El-Khalig,42727.0073819
Shabab Station (Obour),El Basatin,43465.7844324
Shabab Station (Obour),El-Obour,46034.1906778
Shabab Station (Obour),Athar an Naby,46142.4930127
Shabab Station (Obour),Badr,47932.4475563
Shabab Station (Obour),Giza,48132.4693894
Shabab Station (Obour),El-Mounib,49258.5563086
Shabab Station (Obour),Helwan,58786.1494549
Dawaran Shubra,El Mizalat,2898.43940233
Dawaran Shubra,El-Teraa El-,3522.67694482
Dawaran Shubra,Tiba,4034.67237946
Dawaran Shubra,Port Said,4695.51516013
Dawaran Shubra,Imbaba,4986.38318857
Dawaran Shubra,Al Amiriyyah,6376.76412173
Dawaran Shubra,Al Sawah,7081.45341375
Dawaran Shubra,Al Mataria,7259.33687575
Dawaran Shubra,Fom El-Khalig,7482.09155707
Dawaran Shubra,Fateh,7999.82909119
Dawaran Shubra,Nasr,8215.38526771
Dawaran Shubra,El Basatin,11681.3310124
Dawaran Shubra,Giza,11917.0331695
Dawaran Shubra,Athar an Naby,11940.0839513
Dawaran Shubra,Badr,12853.0044757
Dawaran Shubra,El-Mounib,13463.0716786
Dawaran Shubra,Gesr Al Suez,14236.0269055
Dawaran Shubra,El-Obour,16451.8684173
Dawaran Shubra,Al-Mostaqbal,16804.5552161
Dawaran Shubra,Al Amal,20002.4742969
Dawaran Shubra,Maadi,22552.6605823
Dawaran Shubra,Cairo,23640.2665222
Dawaran Shubra,Katameya,25489.3427897
Dawaran Shubra,Helwan,31850.0805093
16th District (Sheikh Zayed),Giza,24600.4566081
16th District (Sheikh Zayed),El-Mounib,26210.8065232
16th District (Sheikh Zayed),Imbaba,26396.8575166
16th District (Sheikh Zayed),Tiba,27319.5231345
16th District (Sheikh Zayed),Badr,28676.2414375
16th District (Sheikh Zayed),Fom El-Khalig,29743.1583746
16th District (Sheikh Zayed),Athar an Naby,30808.4584776
16th District (Sheikh Zayed),El Mizalat,32017.2692849
16th District (Sheikh Zayed),El-Teraa El-,33404.5308687
16th District (Sheikh Zayed),El Basatin,34565.1579668
16th District (Sheikh Zayed),Port Said,35151.8848774
16th District (Sheikh Zayed),Al Amiriyyah,37201.4490005
16th District (Sheikh Zayed),El-Obour,37926.9233428
16th District (Sheikh Zayed),Al Mataria,37999.7739557
16th District (Sheikh Zayed),Fateh,38008.7289598
16th District (Sheikh Zayed),Nasr,38056.320999
16th District (Sheikh Zayed),Al Sawah,38120.4017826
16th District (Sheikh Zayed),Gesr Al Suez,45023.7482173
16th District (Sheikh Zayed),Al Amal,46809.2005113
16th District (Sheikh Zayed),Al-Mostaqbal,47545.6381319
16th District (Sheikh Zayed),Helwan,47546.0805618
16th District (Sheikh Zayed),Maadi,50524.621335
16th District (Sheikh Zayed),Cairo,51436.4997447
16th District (Sheikh Zayed),Katameya,53709.7986451
Police Academy (East),Al-Mostaqbal,5472.66762358
Police Academy (East),Katameya,9542.87781535
Police Academy (East),Maadi,9565.54848529
Police Academy (East),Cairo,10080.6739796
Police Academy (East),Al Amal,12237.9538189
Police Academy (East),Gesr Al Suez,13614.3245248
Police Academy (East),Nasr,14976.0240688
Police Academy (East),Fateh,15008.7720125
Police Academy (East),Al Sawah,16958.49062
Police Academy (East),Al Mataria,17601.1074841
Police Academy (East),Al Amiriyyah,18018.8167323
Police Academy (East),Port Said,19902.0377938
Police Academy (East),El Basatin,20745.5514102
