route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses,InputID,Al Amal,Al Amiriyyah,Al Sawah,Al-Mostaqbal,Athar an Naby,Badr,Cairo,El Mizalat,El-Mounib,El-Obour,El-Teraa El-,Fateh,Fom El-Khalig,Gesr Al Suez,Giza,Helwan,Imbaba,Maadi,Nasr,Port Said
CTA_96,96,CTA_96_O,Athar Al Naby,Bulaq Al Dakrur-Athar Al Naby,0,CTA,3468.0,Bulaq Al Dakrur,12.479905398486768,3.0,5942.812094517509,5.0,4.0,Bulaq Al Dakrur,44286.3315836,27963.2995914,29187.0258972,44469.5401348,16228.46881768,15101.289027899998,53091.354288,19810.13166062,13870.98092776,30166.3025728,21954.848727,25369.0099604,9520.37197112,43431.3793888,9402.54128166,58481.5668464,7996.74225042,51118.728172,25413.6985534,24662.3335972
CTA_96,96,CTA_96_R,Bulaq Al Dakrur,Athar Al Naby-Bulaq Al Dakrur,1,CTA,3468.0,Athar Al Naby,12.293777833551482,3.0,5854.179920738801,4.0,4.0,Athar Al Naby,31771.9018578,33149.0154834,33354.4641118,38818.1480802,508.727653946,5286.26719664,41191.1652874,29524.335717,10149.19169096,14349.7310526,30422.7712388,22302.5429558,9040.51516102,45687.7367282,12958.63564352,42194.454575,22619.685836400004,39528.3293532,21898.263811,31570.2977328
CTA_966,966,CTA_966_O,Moassasa,Motseian-Moassasa,0,CTA,2949.0,Motseian,20.53068565402637,3.0,9776.516978107798,8.0,8.0,Motseian,39910.7607194,30744.6115356,31567.5043576,43067.726199,9594.66933156,8212.0630609,49072.2307226,24300.4596562,8020.1654454,24068.066669,25966.749917200006,24438.5237662,6297.53945684,45336.3653836,5763.3994587,51635.0829486,14313.07571464,47225.4919956,24294.222679,28082.1153008
CTA_966,966,CTA_966_R,Motseian,Moassasa-Motseian,1,CTA,2949.0,Moassasa,19.55968407674596,3.0,9314.135274640932,8.0,8.0,Moassasa,48676.6716978,12355.47808676,14481.95912912,38277.1731048,34685.245565,36112.5791006,54934.232343,5297.3722575,36657.713555,43666.2443834,6111.90339696,24063.9489366,25640.369320200003,26486.3373692,32810.5914672,74522.6663888,15839.79863052,52723.7605552,24660.0880762,8640.00370882
CTA_970-1051,970-1051,CTA_970-1051_O,Moassasa,Cairo Airport-Moassasa,0,CTA,7733.0,Cairo Airport,28.837291784541396,3.0,13732.043706924474,5.0,5.0,Cairo Airport,37726.555214,23322.0411004,21461.0900438,17327.340552200007,49905.6006228,54007.2015012,37586.6090028,33735.3872696,57458.9745546,48076.40302219999,30966.7541324,27175.1897554,44559.6942308,8675.76883244,56371.26529380001,74053.62691939999,45292.7323344,35856.561548000005,27577.292323,27453.482739
CTA_970-1051,970-1051,CTA_970-1051_R,Cairo Airport,Moassasa-Cairo Airport,1,CTA,7733.0,Moassasa,28.884772337282186,3.0,13754.653493943897,5.0,5.0,Moassasa,48676.6716978,12355.47808676,14481.95912912,38277.1731048,34685.245565,36112.5791006,54934.232343,5297.3722575,36657.713555,43666.2443834,6111.90339696,24063.9489366,25640.369320200003,26486.3373692,32810.5914672,74522.6663888,15839.79863052,52723.7605552,24660.0880762,8640.00370882
CTA_975,975,CTA_975_O,Moassasa,Hegaz Square-Moassasa,0,CTA,2397.0,Hegaz Square,20.434717219259355,3.0,9730.817723456834,10.0,10.0,Hegaz Square,35848.503474,11639.18596976,9746.40358292,18329.10078734,40393.9962818,44112.9287652,38644.4467676,22057.8163566,47118.666968,41298.3349404,19298.341438,18196.40375474,34045.0975628,5692.92886228,45536.2649694,69875.179242,33631.2698986,36572.383618,18761.91687078,15784.50946308
CTA_975,975,CTA_975_R,Hegaz Square,Moassasa-Hegaz Square,1,CTA,2397.0,Moassasa,21.80016080749208,3.0,10381.028955948608,11.0,10.0,Moassasa,48676.6716978,12355.47808676,14481.95912912,38277.1731048,34685.245565,36112.5791006,54934.232343,5297.3722575,36657.713555,43666.2443834,6111.90339696,24063.9489366,25640.369320200003,26486.3373692,32810.5914672,74522.6663888,15839.79863052,52723.7605552,24660.0880762,8640.00370882
CTA_977-1084,977-1084,CTA_977-1084_R,Lebanon Square,Saqr Quraish-Lebanon Square,1,CTA,5409.0,Saqr Quraish,22.649430748646502,3.0,10785.44321364119,5.0,5.0,Saqr Quraish,19833.33943062,31120.859702599995,30550.3054596,28818.673917400003,12470.33803344,17159.31826062,29223.3614124,31430.7354456,22108.6644326,7180.59016926,31261.857655,16615.10262666,16054.87675832,40139.2936822,24631.8346032,37949.9587982,29317.058703400005,27552.145105400006,15976.947180899999,31068.2405206
CTA_977-1084,977-1084,CTA_977-1084_O,Saqr Quraish,Lebanon Square-Saqr Quraish,0,CTA,5409.0,Lebanon Square,22.34828498283249,3.0,10642.040468015472,5.0,5.0,Lebanon Square,46688.84349940001,25947.0628376,27416.506239,44921.6741244,20408.8557824,19601.529042,55185.605628,16811.98148324,18358.16531334,33849.5334668,19240.68458368,25950.4450286,12700.51375238,41722.92670880001,13670.31204818,62732.25524959999,4021.08116862,53142.6305298,26114.110851400004,22291.0627494
CTA_982,982,CTA_982_R,Ahmed Helmy,Hawamdeyya-Ahmed Helmy,1,CTA,8541.0,Hawamdeyya,28.969106982584638,3.0,13794.81284884983,4.0,4.0,Hawamdeyya,31793.761278,55953.5171292,55457.7492916,49676.442272800006,26653.357124,27773.7256644,39381.98150340001,54959.01801259999,31048.4942742,17871.68965114,55286.0479564,41488.3549888,35468.8110316,64557.326933,36170.5267216,16210.96760676,49204.3068512,39007.426862,40834.751845,55566.99202000001
CTA_982,982,CTA_982_O,Hawamdeyya,Ahmed Helmy-Hawamdeyya,0,CTA,8541.0,Ahmed Helmy,29.116768936294307,3.0,13865.12806490205,4.0,4.0,Ahmed Helmy,37266.6979358,15360.66036834,16365.82700662,32939.661928400004,19768.27842974,21781.583439200003,44995.85848600001,9941.93552872,23344.1909766,28950.575850200006,10913.7835968,14299.2892819,10954.599074299998,30507.774006,20706.0246682,59678.216961,9939.1203044,42857.7408182,14586.80167694,12660.65787474
CTA_987,987,CTA_987_O,Badrasheen,Ahmed Helmy-Badrasheen,0,CTA,5224.0,Ahmed Helmy,34.20835297200511,5.0,16289.691891431003,8.0,8.0,Ahmed Helmy,37266.6979358,15360.66036834,16365.82700662,32939.661928400004,19768.27842974,21781.583439200003,44995.85848600001,9941.93552872,23344.1909766,28950.575850200006,10913.7835968,14299.2892819,10954.599074299998,30507.774006,20706.0246682,59678.216961,9939.1203044,42857.7408182,14586.80167694,12660.65787474
CTA_987,987,CTA_987_R,Ahmed Helmy,Badrasheen-Ahmed Helmy,1,CTA,5224.0,Badrasheen,34.08475695420397,5.0,16230.836644859033,8.0,8.0,Badrasheen,38959.570757,66482.8893718,65906.6111444,58253.08463200001,37262.9736942,38011.1174074,45096.19210880001,65709.050223,40832.9076926,28212.4662764,66008.0631064,51786.8071016,46163.77835880001,74404.053432,46060.6239372,8743.70412572,59809.0287394,45191.6500534,51120.0946268,66221.3681272
CTA_990,990,CTA_990_O,Masaken Ain Shams,Motseian-Masaken Ain Shams,0,CTA,7713.0,Motseian,35.09279766080761,4.0,16710.856028956005,6.0,5.0,Motseian,39910.7607194,30744.6115356,31567.5043576,43067.726199,9594.66933156,8212.0630609,49072.2307226,24300.4596562,8020.1654454,24068.066669,25966.749917200006,24438.5237662,6297.53945684,45336.3653836,5763.3994587,51635.0829486,14313.07571464,47225.4919956,24294.222679,28082.1153008
